#Version: 1.0
#Software: 4D/16.0.0
#Date: 2017-02-06 12:39:57
#Remark: format CLF
#Fields: C-IP RFC-931 USER DATE TIME HTTP-REQUEST SC-STATUS BYTES_SENT
192.168.1.26 - - [06/Feb/2017:08:20:47 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:37:01 +0900] "POST /4DSOAP/ HTTP/1.1" 200 7911
192.168.1.26 - - [06/Feb/2017:08:38:28 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1426
#Version: 1.0
#Software: 4D/16.0.0
#Date: 2017-02-06 17:41:17
#Remark: format CLF
#Fields: C-IP RFC-931 USER DATE TIME HTTP-REQUEST SC-STATUS BYTES_SENT
192.168.1.26 - - [06/Feb/2017:08:41:17 +0900] "POST /4DSOAP/ HTTP/1.1" 200 613
192.168.1.26 - - [06/Feb/2017:08:41:31 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:08:44:08 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:08:44:09 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9325
192.168.1.26 - - [06/Feb/2017:08:44:09 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:45:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 15650
192.168.1.26 - - [06/Feb/2017:08:45:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1246
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 11165
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9969
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10261
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10653
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9869
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9869
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 12201
192.168.1.26 - - [06/Feb/2017:08:45:25 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5936
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5821
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10329
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 7961
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 8785
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 8785
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9441
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9545
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9041
192.168.1.26 - - [06/Feb/2017:08:45:26 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10661
192.168.1.26 - - [06/Feb/2017:08:45:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9316
192.168.1.26 - - [06/Feb/2017:08:48:42 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1170
192.168.1.26 - - [06/Feb/2017:08:48:43 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:08:48:44 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:08:48:44 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9325
192.168.1.26 - - [06/Feb/2017:08:48:44 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:08:49:32 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1170
192.168.1.26 - - [06/Feb/2017:08:49:42 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:08:55:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:08:55:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:08:55:30 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:08:55:30 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:09:08:43 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:08:43 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:09:08:43 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:08:43 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:10:35 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1170
192.168.1.26 - - [06/Feb/2017:09:11:16 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:11:17 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9320
192.168.1.26 - - [06/Feb/2017:09:11:17 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:11:17 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:16:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1249
192.168.1.26 - - [06/Feb/2017:09:16:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9320
192.168.1.26 - - [06/Feb/2017:09:16:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:16:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1249
192.168.1.26 - - [06/Feb/2017:09:16:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9320
192.168.1.26 - - [06/Feb/2017:09:16:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:24 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:16:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1249
192.168.1.26 - - [06/Feb/2017:09:16:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9320
192.168.1.26 - - [06/Feb/2017:09:16:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:27 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:16:30 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1249
192.168.1.26 - - [06/Feb/2017:09:16:31 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:31 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9320
192.168.1.26 - - [06/Feb/2017:09:16:31 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:31 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:16:41 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1249
192.168.1.26 - - [06/Feb/2017:09:16:41 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:41 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9240
192.168.1.26 - - [06/Feb/2017:09:16:48 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1254
192.168.1.26 - - [06/Feb/2017:09:16:48 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37430
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 15650
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 37422
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 1246
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 11164
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9968
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10260
192.168.1.26 - - [06/Feb/2017:09:19:12 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10652
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9868
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 9868
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 12200
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5936
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 5820
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 10328
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 7960
192.168.1.26 - - [06/Feb/2017:09:19:13 +0900] "POST /4DSOAP/ HTTP/1.1" 200 8784
